circuito_id,mesa_id,agrupacion_nombre,cargo_nombre,votos_cantidad_generales,votos_cantidad_2019,diferencia_absoluta,z_score_diferencia
1013,53,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,11,142,131,3.432617781862894
1014,64,UNION POR LA PATRIA,PRESIDENTE Y VICE,63,191,128,3.312954970519049
1014,83,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,179,179,5.347222763364409
1014,96,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,156,156,4.429807876394933
1014,109,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,167,167,4.8685715179890305
1014,130,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,182,182,5.466885574708254
1016,160,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,157,157,4.469695480176215
1017,194,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,191,191,5.825874008739788
1017,198,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,171,171,5.028121933114156
1017,207,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,158,158,4.509583083957496
1018,243,UNION POR LA PATRIA,PRESIDENTE Y VICE,14,171,157,4.469695480176215
1021,267,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,198,198,6.105087235208758
1021,270,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,215,215,6.783176499490545
105,37,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,122,122,3.0736293478313597
105,37,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,150,150,4.190482253707244
105,51,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,152,152,4.270257461269807
105,66,UNION POR LA PATRIA,PRESIDENTE Y VICE,4,152,148,4.110707046144681
117,47,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,126,126,3.2331797629564862
117,47,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,147,147,4.070819442363399
117,48,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,129,129,3.3528425743003307
230,13,UNION POR LA PATRIA,PRESIDENTE Y VICE,13,148,135,3.59216819698802
292,15,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,134,134,3.5522805932067385
292,15,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,125,125,3.1932921591752046
310,23,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,143,143,3.911269027238273
62,152,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,155,155,4.389920272613652
711,21,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,167,167,4.8685715179890305
748A,64,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,171,171,5.028121933114156
748A,81,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,138,138,3.711831008331865
748A,82,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,143,143,3.911269027238273
748A,96,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,147,147,4.070819442363399
797,30,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,191,191,5.825874008739788
798,52,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,138,138,3.711831008331865
798,52,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,128,128,3.312954970519049
866,35,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,133,133,3.5123929894254573
866,35,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,125,125,3.1932921591752046
866,48,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,148,148,4.110707046144681
901,78,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,167,167,4.8685715179890305
901A,127,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,163,163,4.709021102863904
901A,129,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,171,171,5.028121933114156
905,322,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,210,210,6.583738480584137
913,18,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,122,122,3.0736293478313597
913,18,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,144,144,3.9511566310195545
913,69,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,155,155,4.389920272613652
913,103,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,127,127,3.273067366737768
913,103,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,143,143,3.911269027238273
944,19,UNION POR LA PATRIA,PRESIDENTE Y VICE,0,161,161,4.629245895301341
980,42,JUNTOS POR EL CAMBIO,PRESIDENTE Y VICE,0,167,167,4.8685715179890305
